Date : 2026-07-31 23:40:30
Directory : c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build
Total : 430 files,  27662 codes, 2051 comments, 3519 blanks, all 33232 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Dropdown.tsx                                                 | TypeScript JSX     |         80 |          0 |         11 |         91 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\EmptyState.tsx                                               | TypeScript JSX     |         35 |          0 |          3 |         38 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\IconButton.tsx                                               | TypeScript JSX     |         49 |          0 |          6 |         55 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Modal.tsx                                                    | TypeScript JSX     |        106 |          0 |         13 |        119 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\PageHeader.tsx                                               | TypeScript JSX     |         33 |          0 |          4 |         37 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\ProductionErrorBoundary.tsx                                  | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\SectionHeader.tsx                                            | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Skeleton.tsx                                                 | TypeScript JSX     |         42 |          0 |          6 |         48 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\SkeletonCard.tsx                                             | TypeScript JSX     |          2 |          0 |          0 |          2 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Spinner.tsx                                                  | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\StatusBadge.tsx                                              | TypeScript JSX     |         71 |          0 |          6 |         77 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\Tooltip.tsx                                                  | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\components\ui\index.ts                                                     | TypeScript         |         15 |          0 |          1 |         16 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\alertThresholds.ts                                                  | TypeScript         |         28 |          4 |          3 |         35 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\chart.config.ts                                                     | TypeScript         |         72 |          0 |          3 |         75 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\env.config.ts                                                       | TypeScript         |         39 |          0 |          6 |         45 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\config\firebase.config.ts                                                  | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\constants\app.constants.ts                                                 | TypeScript         |         28 |          0 |          6 |         34 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\constants\routes.constants.ts                                              | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\AuthContext.tsx                                                    | TypeScript JSX     |          7 |          0 |          0 |          7 |
