"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Python", "JavaScript", "XML", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useStepsChart.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useTheme.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 11, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\classifiers\activityClassifier.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 4, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\config\activityConfig.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\engine\activityEngine.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 15, 9, 57
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\engine\activityStabilizer.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 14, 11, 71
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\features\motionFeatures.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 5, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\posture\postureDetection.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 4, 28
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\tests\activityEngine.test.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 9, 16, 115
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\activity\types\activity.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 5, 39
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIIntegratedWorkspaceHub.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 8, 12, 116
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIProviderSelectionPanel.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 4, 7, 119
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AISummaryViewer.tsx", "TypeScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 9, 10, 187
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\AIWorkspaceLayout.tsx", "TypeScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 7, 5, 122
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiExperience\components\PromptPreviewPanel.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 6, 6, 145
